date,cijena
2019-03-23 18:10:44,3
2019-11-01 19:36:58,17
2019-03-25 10:13:59,8
2019-12-03 12:57:52,4
2019-01-31 23:15:16,12
2019-02-28 13:28:30,8
2019-05-25 23:36:11,3
2019-01-19 15:02:30,14
2019-06-08 02:53:06,10
2019-05-10 15:49:52,4
2019-05-15 08:26:44,7
2019-04-16 16:51:21,8
2019-09-08 06:48:51,6
2019-12-28 11:43:27,6
2019-09-10 00:45:17,19
2019-07-18 23:31:17,8
2019-11-27 02:33:38,12
2019-05-31 22:31:57,14
2019-11-15 10:02:17,3
2019-07-04 00:57:54,20
2019-10-02 08:23:46,15
2019-09-20 19:22:59,5
2019-06-29 06:12:38,12
2019-02-04 21:20:23,15
2019-05-01 08:45:46,20
2019-05-29 20:50:14,14
2019-07-25 20:07:53,15
2019-07-16 18:22:15,15
2019-05-13 04:27:46,4
2019-03-25 10:55:37,14
2020-01-01 21:08:35,6
2019-09-19 08:10:35,15
2019-04-25 09:30:11,4
2019-01-20 02:11:33,11
2019-10-24 20:09:46,17
2019-10-21 17:17:50,6
2019-11-21 12:54:33,15
2019-11-21 09:53:44,12
2019-01-10 06:48:00,15
2019-04-21 00:33:44,10
2019-09-24 04:39:56,6
2019-10-31 12:21:09,7
2019-04-18 18:03:53,11
2019-05-06 21:18:22,20
2019-03-03 14:55:20,8
2019-10-17 19:38:44,4
2019-02-23 10:45:18,14
2019-01-22 03:11:50,20
2019-06-19 22:04:31,14
2019-12-15 14:22:17,6
2019-05-16 08:30:23,9
2019-08-11 10:48:10,13
2019-12-22 23:31:27,15
2019-12-07 01:43:40,9
2019-07-28 00:13:44,5
2019-08-08 21:09:48,5
2019-12-04 02:36:11,15
2019-01-21 12:31:59,15
2019-09-23 19:16:06,5
2019-08-15 02:00:20,11
2019-01-01 22:19:59,5
2019-01-15 17:36:30,17
2019-10-18 10:28:59,6
2019-09-11 02:18:29,6
2019-09-04 06:15:26,11
2019-10-10 19:01:41,16
2019-12-07 20:36:45,10
2019-08-07 06:59:25,8
2019-01-29 07:43:09,15
2019-12-04 06:02:04,3
2019-01-18 21:51:41,6
2019-06-07 21:33:40,14
2019-04-14 04:35:23,20
2019-03-10 00:42:31,7
2019-10-10 04:03:18,16
2019-05-10 13:40:23,9
2019-12-27 21:42:15,16
2019-09-02 15:26:54,10
2019-07-12 07:04:28,19
2019-02-22 16:20:35,17
2019-04-16 04:59:47,20
2019-07-15 20:50:40,17
2019-12-02 18:49:00,16
2019-07-27 02:11:48,3
2019-08-25 23:20:25,10
2019-02-10 14:47:25,7
2019-05-12 09:34:58,11
2019-09-20 22:37:03,9
2019-11-18 17:21:45,10
2019-07-17 15:52:38,17
2019-01-11 18:17:29,8
2019-01-14 09:04:04,9
2019-03-28 12:54:39,7
2019-07-14 06:26:01,12
2019-03-27 01:29:31,3
2019-03-21 05:05:28,11
2019-11-13 22:29:49,7
2019-08-04 00:11:32,16
2019-03-15 19:28:31,9
2019-11-09 19:33:50,8
2019-12-26 08:49:10,15
2019-12-12 14:23:24,7
2019-12-30 23:00:04,17
2019-09-09 21:33:44,4
2019-09-28 05:33:15,8
2019-06-23 00:11:50,18
2019-02-02 14:14:50,11
2019-08-22 02:57:14,3
2019-02-19 16:56:41,18
2019-10-05 11:06:03,16
2019-09-25 08:09:02,18
2019-06-23 16:07:06,9
2019-03-31 12:25:08,20
2019-01-19 12:59:15,6
2019-05-16 16:45:00,11
2019-09-13 03:54:43,16
2019-10-14 11:19:44,5
2019-05-26 21:17:05,9
2019-03-04 15:37:28,20
2019-05-14 00:00:26,12
2019-12-01 11:48:27,9
2019-04-01 19:57:14,15
2019-07-18 23:06:52,13
2019-01-06 14:05:21,18
2019-09-01 08:14:27,20
2019-06-28 19:50:14,19
2019-08-08 03:27:44,11
2019-04-15 07:25:26,19
2019-02-22 22:13:55,14
2019-10-20 13:51:03,20
2019-02-20 18:31:29,9
2019-09-05 04:33:13,7
2019-06-28 14:57:05,20
2019-10-03 10:19:44,5
2019-06-22 12:39:27,3
2019-12-24 05:45:14,9
2019-05-15 23:36:12,9
2019-01-06 23:32:49,8
2019-01-15 04:45:13,11
2019-12-09 15:57:51,17
2019-10-30 04:27:40,3
2019-06-04 00:04:14,7
2019-10-10 03:20:44,11
2019-12-18 15:46:31,9
2019-04-07 10:30:52,20
2019-08-17 01:37:14,12
2019-08-18 14:18:33,7
2019-01-17 17:44:20,15
2019-02-07 17:00:56,4
2019-05-22 12:32:48,11
2019-11-26 11:07:36,18
2019-08-10 04:37:37,4
2019-09-08 08:06:18,9
2019-03-24 22:07:37,9
2019-05-19 15:11:34,17
2019-10-25 04:27:02,17
2019-05-06 12:42:38,14
2019-04-13 19:32:58,16
2019-03-20 02:57:07,7
2019-05-03 17:23:32,15
2019-04-27 14:00:59,7
2019-06-04 05:52:23,7
2019-02-24 22:06:07,16
2019-10-27 08:36:28,15
2019-09-03 18:37:43,19
2019-03-27 20:13:47,4
2019-10-09 11:14:25,13
2019-12-11 03:45:17,14
2019-06-21 20:26:44,14
2019-09-02 05:50:00,9
2019-04-17 03:45:51,8
2019-01-10 12:26:22,3
2019-10-28 09:53:54,4
2019-03-10 10:59:47,9
2019-04-29 00:20:07,14
2019-03-03 11:57:59,3
2019-07-27 15:16:42,18
2019-12-13 18:29:33,16
2019-05-02 01:22:52,7
2019-08-04 07:36:46,4
2019-10-23 21:15:28,13
2019-12-09 18:11:40,12
2019-10-26 17:51:59,4
2019-05-26 15:03:32,3
2019-07-04 19:02:47,15
2019-08-13 20:11:20,12
2019-02-05 08:46:00,17
2019-01-30 15:17:54,5
2019-05-14 10:58:56,7
2019-05-20 04:43:16,8
2019-09-26 18:55:55,8
2019-03-31 22:51:48,8
2019-06-19 19:25:08,16
2019-10-13 18:15:47,16
2019-11-25 10:44:47,7
2019-03-10 23:31:30,5
2019-01-18 11:15:44,19
2019-09-07 03:05:24,20
2019-11-28 07:39:10,9
2019-12-14 05:55:20,18
2019-06-17 21:34:49,20
2019-01-22 11:12:31,8
2019-02-06 06:49:29,18
2019-04-16 11:11:21,5
2019-10-13 19:12:07,3
2019-06-02 05:19:13,14
2019-06-21 15:42:49,6
2019-10-08 01:05:14,18
2019-01-03 17:09:59,19
2019-04-25 02:05:32,16
2019-05-03 03:38:24,16
2019-06-08 19:55:56,18
2019-11-12 09:14:46,8
2019-08-16 16:55:29,14
2019-11-19 22:09:57,7
2019-11-14 22:04:43,16
2019-08-13 20:40:55,15
2019-08-30 12:27:34,8
2019-11-23 12:43:22,4
2019-03-19 21:41:59,8
2019-07-28 00:18:47,19
2019-04-27 02:14:58,14
2019-02-03 02:24:31,8
2019-03-21 10:23:03,7
2019-07-09 21:46:24,15
2019-11-30 09:05:19,11
2019-06-26 09:16:29,5
2019-06-21 09:45:15,3
2019-11-01 04:52:54,20
2019-02-13 13:18:07,18
2019-03-11 12:47:48,5
2019-10-04 09:11:40,9
2019-05-16 18:01:46,8
2019-01-13 01:45:32,7
2019-08-18 20:00:02,16
2019-06-01 14:12:54,20
2019-03-12 15:34:58,3
2019-11-18 12:44:23,15
2019-06-06 05:26:50,19
2019-08-20 04:37:08,9
2019-11-26 13:27:28,16
2019-01-18 22:08:57,3
2019-12-29 00:19:06,6
