jelo,kategorija,cijena,datum
Vijetnamski som 200g,Posno,12.0,2019-11-15 17:35:57
Ćevapi srednja porcija,Roštilj,5.0,2019-12-21 17:16:04
Čizburger,Ručak,4.5,2019-05-13 03:28:05
Roštiljska kobasica,Roštilj,3.0,2019-04-06 03:06:19
Omlet sa slaninom,Doručak,5.0,2019-03-13 00:43:55
Kapućino,Kafa,2.0,2019-04-06 08:28:42
Ćevapi mala porcija,Roštilj,3.0,2019-12-25 22:19:50
Hamburger,Ručak,4.0,2019-11-24 18:39:47
Omlet sa povrćem,Doručak,4.0,2019-12-28 23:40:03
Cedevita,Piće,3.0,2019-02-11 06:20:54
Omlet sa povrćem,Doručak,4.0,2019-08-19 12:29:53
Kola,Piće,2.0,2019-09-21 15:52:11
Oslić 200g,Posno,6.0,2019-07-03 22:46:23
Omlet sa povrćem,Doručak,4.0,2019-01-12 14:17:50
Riblja čorba,Posno,6.0,2019-09-04 17:15:41
Oslić 300g,Posno,8.0,2019-05-12 15:20:21
Dupli čizburger,Ručak,6.0,2019-08-10 16:54:09
Šiš ćevapi,Roštilj,4.0,2019-01-17 10:11:02
Jaja i kobasica,Doručak,5.0,2019-01-25 08:37:52
Indeks sendvič,Sendvič,2.0,2019-07-04 12:58:46
Ćevapi mala porcija,Roštilj,3.0,2019-12-25 04:37:52
Fruit smoothie 1,Smoothie,3.0,2019-01-05 00:30:45
Riblja čorba,Posno,6.0,2019-03-30 21:39:42
Jaja i kobasica,Doručak,5.0,2019-10-07 04:18:38
Omlet,Doručak,3.5,2019-06-27 12:46:28
Jagoda,Piće,2.0,2019-01-24 13:56:25
Ruska salata 200g,Salata,4.0,2019-05-22 04:32:18
Bijelo Vino,Piće,15.0,2019-05-13 20:19:57
Kupus salata 100g,Salata,1.0,2019-03-21 18:48:57
Fruit smoothie 2,Smoothie,3.0,2019-06-19 11:11:22
Šiš ćevapi,Roštilj,4.0,2019-05-28 13:29:57
Kola,Piće,2.0,2019-04-28 06:58:09
Indeks sendvič,Sendvič,2.0,2019-01-01 00:49:57
Indeks sendvič,Sendvič,2.0,2019-03-16 06:16:10
Luk,Salata,1.0,2019-01-18 11:20:21
Domaća čorba,Ručak,5.0,2019-07-24 08:51:48
Čaj,Piće,1.5,2019-12-04 22:59:37
Kapućino,Kafa,2.0,2019-08-14 23:11:06
Dupli čizburger,Ručak,6.0,2019-06-03 03:47:07
Fruit smoothie 3,Smoothie,3.0,2019-04-02 00:46:58
Kafa,Kafa,2.0,2019-02-06 20:16:13
Riblja čorba,Posno,6.0,2019-06-20 01:11:35
Oslić 200g,Posno,6.0,2019-02-19 10:23:55
Indeks sendvič,Sendvič,2.0,2019-03-18 11:51:09
Dupli čizburger,Ručak,6.0,2019-07-02 16:07:21
Ruska salata 200g,Salata,4.0,2019-03-14 03:51:52
Cedevita,Piće,3.0,2019-07-08 07:32:11
Indeks sendvič,Sendvič,2.0,2019-07-20 06:37:10
Ruska salata 200g,Salata,4.0,2019-11-01 04:44:51
Lignje 300g,Posno,8.0,2019-04-01 05:14:54
Oslić 200g,Posno,6.0,2019-08-05 02:15:33
Omlet sa povrćem,Doručak,4.0,2019-07-25 08:38:45
Kola,Piće,2.0,2019-04-21 18:04:33
Oslić 200g,Posno,6.0,2019-09-07 03:20:53
Oslić 200g,Posno,6.0,2019-08-13 08:35:00
Omlet sa povrćem,Doručak,4.0,2019-08-20 14:43:42
Fruit smoothie 3,Smoothie,3.0,2019-11-18 13:22:32
Fruit smoothie 1,Smoothie,3.0,2019-09-28 03:46:43
Omlet sa slaninom,Doručak,5.0,2019-06-01 01:37:18
Indeks sendvič,Sendvič,2.0,2019-01-21 22:10:15
Engleska salata 100g,Salata,2.0,2019-08-12 17:55:03
Ćevapi velika porcija,Roštilj,6.5,2019-06-14 03:40:29
Fruit smoothie 3,Smoothie,3.0,2019-05-23 11:12:27
Hamburger,Ručak,4.0,2019-10-30 18:01:23
Ćevapi mala porcija,Roštilj,3.0,2019-05-18 03:59:20
Indeks sendvič,Sendvič,2.0,2019-07-07 19:17:24
Fruit smoothie 2,Smoothie,3.0,2019-05-10 20:26:09
Omlet sa povrćem,Doručak,4.0,2019-03-20 09:08:09
Cedevita,Piće,3.0,2019-05-26 02:56:11
Lignje 300g,Posno,8.0,2019-03-31 01:45:31
Ruska salata 100g,Salata,2.0,2019-11-19 07:35:53
Hamburger,Ručak,4.0,2019-04-14 15:26:30
Oslić 300g,Posno,8.0,2019-04-26 03:20:53
Ćevapi velika porcija,Roštilj,6.5,2019-08-05 14:36:23
Kafa,Kafa,2.0,2019-10-30 10:05:35
Čizburger,Ručak,4.5,2019-09-23 00:07:42
Fruit smoothie 3,Smoothie,3.0,2019-02-23 05:30:49
Lignje 300g,Posno,8.0,2019-03-06 22:45:54
Oslić 300g,Posno,8.0,2019-12-29 01:46:29
Vijetnamski som 200g,Posno,12.0,2019-06-04 02:11:45
Pileće krpice,Roštilj,6.0,2019-03-24 04:27:53
Hercegovačko vino,Piće,20.0,2019-01-08 03:29:36
Ćevapi srednja porcija,Roštilj,5.0,2019-01-22 21:02:21
Roštiljska kobasica,Roštilj,3.0,2019-08-17 20:59:57
Ćevapi mala porcija,Roštilj,3.0,2019-10-04 14:13:45
Domaća čorba,Ručak,5.0,2019-12-27 07:15:31
Omlet sa povrćem,Doručak,4.0,2019-07-01 08:39:29
Kapućino,Kafa,2.0,2019-03-31 03:30:07
Gurmanski hamburger,Ručak,7.0,2019-06-04 14:00:31
Roštiljska kobasica,Roštilj,3.0,2019-09-14 03:13:41
Kafa,Kafa,2.0,2019-06-30 18:14:24
Omlet sa sirom,Doručak,4.0,2019-06-30 02:19:54
Crno Vino,Piće,18.0,2019-07-21 00:51:02
Ćevapi mala porcija,Roštilj,3.0,2019-03-01 15:06:10
Riblja čorba,Posno,6.0,2019-08-09 11:20:37
Riblja čorba,Posno,6.0,2019-11-14 12:23:23
Fruit smoothie 2,Smoothie,3.0,2019-04-15 00:34:48
Jagoda,Piće,2.0,2019-02-21 19:03:18
Luk,Salata,1.0,2019-04-29 06:50:28
Fruit smoothie 2,Smoothie,3.0,2019-03-19 20:35:05
Jagoda,Piće,2.0,2019-04-24 04:17:43
Čizburger,Ručak,4.5,2019-08-15 06:01:48
Dupli čizburger,Ručak,6.0,2019-05-19 22:30:38
Omlet sa sirom,Doručak,4.0,2019-07-28 18:10:08
